origin_zone,metro,train,bus,chartered_transport,school_transport,car_driver,car_passenger,conventional_taxi,ride_hailing,motorcycle_driver,motorcycle_or_mototaxi_passenger,bicycle,walking,other,total
12,3213.8637014660267,1681.234671754067,6607.594303080291,0,142.32827343328117,10934.584431863355,2799.861137197565,63.8706885906309,1797.1350843399248,644.6049093798935,540.8307040568925,619.8620872568096,14226.80749016291,28.4356888002701,43301.013171381936
13,3633.6270153510104,11545.299106230828,1629.4943257899222,0,33.56766104038121,4651.9002509269185,3478.1716707866476,0,2045.5361886183205,1413.5496622735598,0,555.5222443869202,1779.901613334387,0,30766.569738738897
14,4862.20783267577,10642.155906127147,11700.35260715928,388.5366240759097,517.2819051371677,4794.079420228124,1002.9209144840628,71.6999988049663,555.240690810153,957.1087239586964,854.5021331050056,1258.5660228697425,6989.773040686148,133.86152184308935,44728.287341965224
15,6070.887042632308,4937.008139707981,2450.095518026568,225.71417855694204,457.7408071985088,4294.3090091753465,1106.3179231351276,0,432.3027129247045,1171.2708239455849,0,252.0849374202661,4050.3297456940322,0,25448.06083841737
16,7247.804737731631,3960.1187449281697,8989.499660118307,0,1131.8294159529626,3673.894233682761,1414.5374201235256,0,1075.1880237148512,1348.0466392849426,0,1063.8529271113316,20308.079266390636,0,50212.85106903915
17,3450.2256952580356,1825.7024018331656,3827.2674608934585,0,50.21325294363941,5141.589979118045,491.20673000120263,0,876.1252543185296,48.41152935907828,0,1049.363347374804,7855.370435072997,0,24615.476086172945
18,8831.810200766384,3410.977189833784,11433.75559280382,0,901.8856325651248,10320.139074082375,4888.318093578149,178.8975312131447,1408.4223709134055,781.1813149256872,286.517199387533,2166.150405148032,20705.601018125384,0,65313.65562334278
19,4874.287416130072,308.3717805132166,6838.632681284898,0,852.0708906907953,9935.911290785938,3218.5799950416313,163.5507553293475,1741.8902121800734,1068.4077751657844,0,0,12690.022135043486,0,41691.72493216526
20,2527.6056152120464,0,6176.183068104584,914.2793818220471,2572.1366470284515,7357.227322319661,759.1646368347131,0,2170.0501451729674,982.3925180472692,169.15456117456245,0,17486.494016416233,0,41114.687912132526
21,3607.7066293232065,251.28079402159145,2609.4041293083533,0,2301.4696482630557,4920.585098508538,542.8882390157133,0,1080.2102273833714,1484.0017264200778,114.03375384880052,712.2014607447227,8152.050925342726,0,25775.83263218015
22,7135.521612606077,0,3832.5609095878626,0,1556.6949096901758,3159.0901996483153,964.6715230328156,0,319.88693081129315,532.5020320245436,0,0,4180.338361128164,0,21681.266478529255
23,22801.040559538025,288.6523610865365,1453.0625254069669,95.7665386104864,545.9828665530716,8616.199915631712,2702.298690719797,113.0811238205318,927.5866613982416,1100.483698164296,0,38.27296615677561,3546.1835197657174,0,42228.61142685217
24,31354.17997152287,0,3663.8596572919328,0,590.9088833159899,6655.926587910763,2320.7182188025886,194.715349560976,1705.9651818761458,391.0195701699142,0,98.7544091618645,9963.249065507112,0,56939.29689512017
25,3424.6847437566003,305.9432684320301,7181.591070483799,0,739.7164797131843,3814.202971613506,716.2857539938525,246.35826325686745,1809.6637307103456,233.16618558982407,18.8382028206575,405.0368741238612,10406.063284921484,0,29301.55082941602
26,6331.740351073535,584.2832637872929,4891.590973073293,0,654.4197855816325,7105.8427718198645,1295.5819059263308,127.88996444253016,672.0720805869663,30.692045647789943,0,1582.540558575015,8187.915064976317,0,31464.56876549056
27,36228.79764396001,364.2079944814709,15869.248470180157,179.7332816899273,1539.7116306688235,13625.24031870709,3266.372174445131,1145.2056576313553,5377.56265658559,2405.3862571692816,64.53321633986022,333.46092848153876,8862.52950882505,0,89261.98973916528
28,13065.189952252256,0,8218.882033530566,162.42107044199298,256.53260585943633,11359.082584560583,3238.4886433817137,225.40103902086565,3048.6226354022374,1367.3303792694278,30.46116199289947,148.4736358409905,4954.574053279089,0,46075.45979483203
